L82-B-GRUPPLIV-PREMIE-L89-SMB ;SAMBAND;BATCH:  L82 hämtar grupplivpremien för kombavtal vid avisering. Vid uppräkning av fristående grupplivavtal anropas L89DGLB. Vid uppräkning av sjuk- och olycksfallspremie anropas L89D151.
L82-B-INBET-KEP-FORA-PV-L00-SMB ;SAMBAND;BATCH: L82 FÅR inbettransar för KEP, FORA, PV
L82-B-INBET-PREMIE-L88-SMB ;SAMBAND;INBETALDA PREMIER
L82-B-INBET-TRANS-L88-SMB ;SAMBAND;BATCH: L82 skickar inbettransar till L88 för uppdatering av tabeller, köp av andelar
L82-B-INBET-TRANS-Y05-SMB ;SAMBAND;BATCH: L82 skickar fil med transaktioner från inbet och ändring för uppdatering i KIS. Vidarebefordrar även KIS-transar från övriga LIV-system.
L82-B-KOLL-ANNUL-L88-SMB ;SAMBAND;KONTROLL VÄRDE VID ANNULLATION
L82-B-LAS-UPPDAT-CREG-L80-SMB ;SAMBAND;L82 läser / uppdaterar CREG
L82-B-L25-SMB ;SAMBAND;L25 TAR EMOT UTSKRIFTSTRANSAR TILL BL A AVIBREV, LISTOR ....
L82-B-L87-SMB ;SAMBAND;
L82-B-NAMN-ÄNDRING-D70-SMB ;SAMBAND;BATCH: L82 skickar uppgifter om namn-adressändring från DAFA/SPAR till CREG.
L82-B-UNDERLAG-PROV-BER-L73-SMB ;SAMBAND;
L82-O-AVISER-ÄNDRING-L81-SMB ;SAMBAND;ONLINE: Transaktioner från aviseringsändring skickas till L81
L82-O-GRUPPLIV-PREMIE-L89-SMB ;SAMBAND;ONLINE: Visar grupplivpremien på 4.1.2 via L89DGLB
L86-B-ÄNDRING-BEF-AVTAL-L88-SMB ;SAMBAND;BATCH: ÄNDRING BEFINTLIGA AVTAL
L86-O-ÄNDRING-BEF-AVTAL-L88-SMB ;SAMBAND;ONLINE: BEFINTLIGA AVTAL
L87-B-BASBELOPP-L80-SMB ;SAMBAND;HÄMTAR BASBELOPP L80BB
L87-B-C10-SMB ;SAMBAND;Läses i batch
L87-B-FÖRDEL-FÖRMÖGENHET-L35-SMB ;SAMBAND;LÄSER SUPRA FÖR FÖRDELNIG AV FÖRMÖGENHET
L87-B-INBET-ÅR-L80-SMB ;SAMBAND;Läser supra för inbetalningar / år
L87-B-KIS-ADRESS-Y05-SMB ;SAMBAND;ANROPAR KIS FÖR ADRESSER
L87-B-KONT-UPPG-PREM-L88-SMB ;SAMBAND;BATCH: KONTROLLUPPGIFT PREMIE
L87-B-L00-SMB ;SAMBAND;ANROPAR RIA FÖR PERSONROLLEN
L87-B-L25-SMB ;SAMBAND;
L87-B-L35-SMB ;SAMBAND;TEST
L87-B-L50-SMB ;SAMBAND;
L87-B-L80-SMB ;SAMBAND;TEST
L87-B-L81-SMB ;SAMBAND;
L87-B-L82-SMB ;SAMBAND;
L87-B-L88-SMB ;SAMBAND;
L87-B-L89-SMB ;SAMBAND;
L87-B-SVERIGE-SMB ;SAMBAND;FIL FRÅN ÅTERFÖRSÄKRINGSBOLAGET SVERIGE
L87-B-VÄRDEBESKED-L88-SMB ;SAMBAND;BATCH: VÄRDEBESKED / ÅRSBESKED
L87-O-KUND-SAMMANSTÄLL-L88-SMB ;SAMBAND;ONLINE: KUNDSAMMANSTÄLLNING
L87-O-VÄRDEBESKED-L88-SMB ;SAMBAND;ONLINE: VÄRDEBESKED/ÅRSBESKED
L88-B-ADRESS-ÅRSRAPPORT-C10-SMB ;SAMBAND;Batch: Adressfil för utskick av årsrapport
L88-B-AVKAST-SKATT-L00-SMB ;SAMBAND;Avkastningsskatt
L88-B-AVRÄKN-NOTA-L25-SMB ;SAMBAND;Batch: Filer för utskrift av avrökningsnotor
L88-B-AVTALSDATA-L80-SMB ;SAMBAND;Batch: Hämtar avtalsdata
L88-B-BOKFÖR-LIST-L25-SMB ;SAMBAND;Batch: Fil för utskrift av bokföringslistor.
L88-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;BATCH: SKAPAR BOKFÖRINGSFIL
L88-B-C10-SMB ;SAMBAND;Läses i batch
L88-B-GRUPPAVTAL-L90-SMB ;SAMBAND;BATCH: HÄMTAR GRUPPAVTAL.
L88-B-HIST-AVTAL-L87-SMB ;SAMBAND;HISTORIK AVTALSDATA
L88-B-KONT-UPPG-FÖRMÖG-L87-SMB ;SAMBAND;BATCH: KONTROLLUPPGIFT FÖRMÖGENHET
L88-B-L25-SMB ;SAMBAND;
L88-B-L87-SMB ;SAMBAND;
L88-B-L89-SMB ;SAMBAND;BATCH: BERÄKNING AV: ARVSVINST, FRIGJORD/TILLSKJ RISKSUMMA, DELN.TAL UTBET EFTERLEVANDESKYDD
L88-B-SIGNAL-LISTA-D09-SMB ;SAMBAND;Batch: Signal och resultatlistor
L88-B-UPDAT-AVTALSDATA-L80-SMB ;SAMBAND;BATCH: Uppdatering avtalsdata
